"North Atlantic Imports, LLC",,,,,,,,,,,,,,,,,,,,,
NAI,,,,,,,,,,,,,,,,,,,,,
Custom Stock Ledger MTD Xudong,,,,,,,,,,,,,,,,,,,,,
"October 1, 2021 - October 25, 2021",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Item ,Location ,Description ,Class ,Department ,Subsidiary ,Beginning Inv Qty On-hand ,Beginning Average Cost ,Beginning Inv On-hand Value ,Receipts ,Other Inv Inputs ,Total Input Quantity ,Value of Inputs ,Last Receipt Date ,Sales ,Other Inv Outputs ,Total Output Quantity ,Value of Outputs ,LAST SALES DATE ,Ending Inv Qty On-hand ,Ending Average Cost ,Ending Inv On-hand Value 
1529,BPUT2,Blackstone 28in Griddle Cover,2.1 - Bags & Covers,- No Department -,NAI,0,$0.00 ,$0.00 ,0,"5,400","5,400","$37,422.00 ",,0,0,0,$0.00 ,,"5,400",$6.93 ,"$37,422.00 "
1529,BPUT1,Blackstone 28in Griddle Cover,2.1 - Bags & Covers,- No Department -,NAI,"3,489",$6.93 ,"$24,178.77 ",0,"8,538","8,538","$59,168.34 ",,"2,321","5,400","7,721","$53,506.53 ",10/22/2021,"4,306",$6.93 ,"$29,840.58 "
1529,Transit,Blackstone 28in Griddle Cover,2.1 - Bags & Covers,- No Department -,NAI,"14,868",$6.93 ,"$103,035.24 ",0,0,0,$0.00 ,,0,"8,538","8,538","$59,168.34 ",,"6,330",$6.93 ,"$43,866.90 "
1529,Damaged Location BP,Blackstone 28in Griddle Cover,2.1 - Bags & Covers,- No Department -,NAI,33,$6.93 ,$228.69 ,0,1,1,$6.93 ,,0,4,4,$27.72 ,,30,$6.93 ,$207.90 
1530,BPUT1,Blackstone Patio Oven Cover,2 - NonGriddle,- No Department -,NAI,"2,598",$5.94 ,"$15,444.21 ",0,0,0,$0.00 ,,2,0,2,$11.88 ,10/15/2021,"2,596",$5.94 ,"$15,432.33 "
1530,Damaged Location BP,Blackstone Patio Oven Cover,2 - NonGriddle,- No Department -,NAI,3,$5.94 ,$17.83 ,,,,,,,,,,,3,$5.94 ,$17.83 
1542,Retail Store,"Blackstone Griddle Accessory Toolkit Includes- TBD (1): Griddle Spatula flame,  TBD (1): Griddle Spatula solid,  TBD (2): Plastic Bottles,  TBD (1): Griddle Essentials Cookbook,  TBD (1): Chopper/Scraper",2.2 - Cooking Utensils,- No Department -,NAI,1,$5.28 ,$5.28 ,0,4,4,$21.12 ,,0,0,0,$0.00 ,,5,$5.28 ,$26.40 
1542,Damaged Location BP,"Blackstone Griddle Accessory Toolkit Includes- TBD (1): Griddle Spatula flame,  TBD (1): Griddle Spatula solid,  TBD (2): Plastic Bottles,  TBD (1): Griddle Essentials Cookbook,  TBD (1): Chopper/Scraper",2.2 - Cooking Utensils,- No Department -,NAI,0,$0.00 ,$0.00 ,0,8,8,$42.24 ,,0,5,5,$26.40 ,,3,$5.28 ,$15.84 
1542,Transit,"Blackstone Griddle Accessory Toolkit Includes- TBD (1): Griddle Spatula flame,  TBD (1): Griddle Spatula solid,  TBD (2): Plastic Bottles,  TBD (1): Griddle Essentials Cookbook,  TBD (1): Chopper/Scraper",2.2 - Cooking Utensils,- No Department -,NAI,"18,576",$5.28 ,"$98,081.28 ","12,384",0,"12,384","$65,387.52 ",10/16/2021,0,0,0,$0.00 ,,"30,960",$5.28 ,"$163,468.80 "
1542,BPUT1,"Blackstone Griddle Accessory Toolkit Includes- TBD (1): Griddle Spatula flame,  TBD (1): Griddle Spatula solid,  TBD (2): Plastic Bottles,  TBD (1): Griddle Essentials Cookbook,  TBD (1): Chopper/Scraper",2.2 - Cooking Utensils,- No Department -,NAI,"21,084",$5.28 ,"$111,322.69 ",0,1,1,$5.28 ,,"10,854",8,"10,862","$57,350.95 ",10/25/2021,"10,223",$5.28 ,"$53,977.02 "
1543,Returns Received,"Includes- Qty (1) Pancake dispenser,  Qty (1) Bacon Press,  Qty (2) Egg Rings",2.2 - Cooking Utensils,- No Department -,NAI,0,$0.00 ,$0.00 ,0,8,8,$49.92 ,,0,8,8,$49.92 ,,0,$0.00 ,$0.00 
1543,Damaged Location BP,"Includes- Qty (1) Pancake dispenser,  Qty (1) Bacon Press,  Qty (2) Egg Rings",2.2 - Cooking Utensils,- No Department -,NAI,32,$6.24 ,$199.68 ,0,11,11,$68.64 ,,0,22,22,$137.28 ,,21,$6.24 ,$131.04 
1543,BPUT2,"Includes- Qty (1) Pancake dispenser,  Qty (1) Bacon Press,  Qty (2) Egg Rings",2.2 - Cooking Utensils,- No Department -,NAI,"9,060",$6.24 ,"$56,534.40 ",0,4,4,$24.96 ,,0,"9,064","9,064","$56,559.36 ",,0,$0.00 ,$0.00 
1543,Retail Store,"Includes- Qty (1) Pancake dispenser,  Qty (1) Bacon Press,  Qty (2) Egg Rings",2.2 - Cooking Utensils,- No Department -,NAI,2,$6.24 ,$12.48 ,0,4,4,$24.96 ,,5,0,5,$31.20 ,10/20/2021,1,$6.24 ,$6.24 
1543,BPUT1,"Includes- Qty (1) Pancake dispenser,  Qty (1) Bacon Press,  Qty (2) Egg Rings",2.2 - Cooking Utensils,- No Department -,NAI,"2,276",$6.24 ,"$14,202.24 ",0,"9,064","9,064","$56,559.36 ",,"3,983",3,"3,986","$24,872.64 ",10/22/2021,"7,354",$6.24 ,"$45,888.96 "
1550,Damaged Location BP,On The Go Tailgater 2021,- No Class -,- No Department -,NAI,0,$0.00 ,$0.00 ,0,3,3,$393.00 ,,0,0,0,$0.00 ,,3,$131.00 ,$393.00 
1550,BPUT1,On The Go Tailgater 2021,- No Class -,- No Department -,NAI,0,$0.00 ,$0.00 ,0,239,239,"$31,309.00 ",,6,3,9,"$1,179.00 ",10/21/2021,230,$131.00 ,"$30,130.00 "
1550,Transit,On The Go Tailgater 2021,- No Class -,- No Department -,NAI,478,$131.00 ,"$62,618.00 ",717,0,717,"$93,927.00 ",10/2/2021,0,239,239,"$31,309.00 ",,956,$131.00 ,"$125,236.00 "
1554,Retail Store,"1554 BLACKSTONE 36"" GRIDDLE COOKING STATION","1.2 - 36"" Griddles",- No Department -,NAI,8,$100.11 ,$800.88 ,0,0,0,$0.00 ,,6,0,6,$600.66 ,10/22/2021,2,$100.11 ,$200.22 
1554,BPUT1,"1554 BLACKSTONE 36"" GRIDDLE COOKING STATION","1.2 - 36"" Griddles",- No Department -,NAI,120,$146.96 ,"$17,635.48 ",0,9,9,$862.11 ,,7,0,7,"$1,003.75 ",10/19/2021,122,$143.39 ,"$17,493.84 "
1554,Damaged Location BP,"1554 BLACKSTONE 36"" GRIDDLE COOKING STATION","1.2 - 36"" Griddles",- No Department -,NAI,9,$95.79 ,$862.11 ,0,4,4,$383.16 ,,0,10,10,$957.90 ,,3,$95.79 ,$287.37 
1554,Returns Received,"1554 BLACKSTONE 36"" GRIDDLE COOKING STATION","1.2 - 36"" Griddles",- No Department -,NAI,0,$0.00 ,$0.00 ,0,4,4,$383.16 ,,0,4,4,$383.16 ,,0,$0.00 ,$0.00 
1555,Damaged Location BP,Blackstone Tailgater,1.6 - Combo Units,- No Department -,NAI,0,$0.00 ,$0.00 ,0,2,2,$178.64 ,,0,2,2,$178.64 ,,0,$0.00 ,$0.00 
1555,Retail Store,Blackstone Tailgater,1.6 - Combo Units,- No Department -,NAI,0,$0.00 ,$0.00 ,0,2,2,$178.64 ,,2,0,2,$178.64 ,10/14/2021,0,$0.00 ,$0.00 
1565,BPUT1,Legacy 36in Stainless Steel Front Panel Griddle Cooking Station,"1.2 - 36"" Griddles",- No Department -,NAI,3,$136.12 ,$408.37 ,0,0,0,$0.00 ,,3,0,3,$408.37 ,10/18/2021,0,$0.00 ,$0.00 
1580,BPUT1,Fornoteca Dual Burner Pizza Oven,1.7 - Ovens,- No Department -,NAI,2,$239.58 ,$479.16 ,,,,,,,,,,,2,$239.58 ,$479.16 
1605,Retail Store,Legacy 28in Stainless Steel Front Panel Griddle Cooking Station,"1.3 - 28"" Griddles",- No Department -,NAI,2,$90.52 ,$181.04 ,,,,,,,,,,,2,$90.52 ,$181.04 
1605,BPUT1,Legacy 28in Stainless Steel Front Panel Griddle Cooking Station,"1.3 - 28"" Griddles",- No Department -,NAI,0,$0.00 ,$0.00 ,0,463,463,"$38,424.37 ",,4,1,5,$414.95 ,10/21/2021,458,$82.99 ,"$38,009.42 "
1605,Transit,Legacy 28in Stainless Steel Front Panel Griddle Cooking Station,"1.3 - 28"" Griddles",- No Department -,NAI,"2,778",$82.99 ,"$230,546.22 ",926,0,926,"$76,848.74 ",10/16/2021,0,463,463,"$38,424.37 ",,"3,241",$82.99 ,"$268,970.59 "
1605,Damaged Location BP,Legacy 28in Stainless Steel Front Panel Griddle Cooking Station,"1.3 - 28"" Griddles",- No Department -,NAI,0,$0.00 ,$0.00 ,0,1,1,$82.99 ,,0,0,0,$0.00 ,,1,$82.99 ,$82.99 
1620,Retail Store,1620 BLACKSTONE ROTISSERIE COOKER (KABOB),1 - Griddles,- No Department -,NAI,1,$102.44 ,$102.44 ,,,,,,,,,,,1,$102.44 ,$102.44 
1626,Damaged Location BP,Blackstone Kabob Cover,2 - NonGriddle,- No Department -,NAI,16,$9.90 ,$158.40 ,,,,,,,,,,,16,$9.90 ,$158.40 
1626,BPUT1,Blackstone Kabob Cover,2 - NonGriddle,- No Department -,NAI,"3,286",$9.90 ,"$32,531.40 ",,,,,,,,,,,"3,286",$9.90 ,"$32,531.40 "
1650,Fleming Sales,Original 17in Tabletop Griddle,"1.5 - 17"" Griddle",- No Department -,NAI,1,$33.13 ,$33.13 ,,,,,,,,,,,1,$33.13 ,$33.13 
1666,Damaged Location BP,Legacy 22in Tabletop Griddle -W/No Adapter Hose,"1.4 - 22"" Griddle",- No Department -,NAI,0,$0.00 ,$0.00 ,0,3,3,$132.55 ,,0,2,2,$89.27 ,,1,$43.28 ,$43.28 
1666,Transit,Legacy 22in Tabletop Griddle -W/No Adapter Hose,"1.4 - 22"" Griddle",- No Department -,NAI,"1,978",$44.99 ,"$88,989.32 ",22,0,22,"$1,015.96 ",10/2/2021,0,"1,978","1,978","$89,015.22 ",,22,$45.00 ,$990.06 
1666,Returns Received,Legacy 22in Tabletop Griddle -W/No Adapter Hose,"1.4 - 22"" Griddle",- No Department -,NAI,0,$0.00 ,$0.00 ,0,1,1,$43.28 ,,0,1,1,$43.28 ,,0,$0.00 ,$0.00 
1666,Fleming Sales,Legacy 22in Tabletop Griddle -W/No Adapter Hose,"1.4 - 22"" Griddle",- No Department -,NAI,24,$42.71 ,"$1,025.15 ",,,,,,,,,,,24,$42.71 ,"$1,025.15 "
1666,BPUT1,Legacy 22in Tabletop Griddle -W/No Adapter Hose,"1.4 - 22"" Griddle",- No Department -,NAI,560,$43.28 ,"$24,238.92 ",0,"1,980","1,980","$89,104.49 ",,413,2,415,"$18,493.97 ",10/21/2021,"2,125",$44.64 ,"$94,849.44 "
1680,Returns Received,1680 BLACKSTONE SURROUND TABLE,2.3 - Griddle Accessories,- No Department -,NAI,0,$0.00 ,$0.00 ,0,1,1,$30.13 ,,0,1,1,$30.13 ,,0,$0.00 ,$0.00 
1680,Damaged Location BP,1680 BLACKSTONE SURROUND TABLE,2.3 - Griddle Accessories,- No Department -,NAI,0,$0.00 ,$0.00 ,0,1,1,$30.13 ,,0,0,0,$0.00 ,,1,$30.13 ,$30.13 
1720,Damaged Location BP,Blackstone 17in Tabletop Griddle Carry Bag/ Cover,2.1 - Bags & Covers,- No Department -,NAI,114,$6.84 ,$779.20 ,0,1,1,$6.84 ,,0,15,15,$102.53 ,,100,$6.84 ,$683.51 
1720,BPUT2,Blackstone 17in Tabletop Griddle Carry Bag/ Cover,2.1 - Bags & Covers,- No Department -,NAI,0,$0.00 ,$0.00 ,0,"5,415","5,415","$37,038.53 ",,0,0,0,$0.00 ,,"5,415",$6.84 ,"$37,038.53 "
1720,BPUT1,Blackstone 17in Tabletop Griddle Carry Bag/ Cover,2.1 - Bags & Covers,- No Department -,NAI,411,$6.84 ,"$2,811.23 ",0,"9,676","9,676","$66,183.84 ",,"2,787","5,401","8,188","$56,005.92 ",10/21/2021,"1,899",$6.84 ,"$12,989.15 "
1720,Transit,Blackstone 17in Tabletop Griddle Carry Bag/ Cover,2.1 - Bags & Covers,- No Department -,NAI,"36,198",$6.84 ,"$247,594.32 ",0,0,0,$0.00 ,,0,"9,676","9,676","$66,183.84 ",,"26,522",$6.84 ,"$181,410.48 "
1722,Transit,Blackstone 22in Tabletop Carry Bag/Cover,2.1 - Bags & Covers,- No Department -,NAI,"6,500",$9.03 ,"$58,695.00 ",0,0,0,$0.00 ,,0,"5,712","5,712","$51,579.36 ",,788,$9.03 ,"$7,115.64 "
1722,BPUT1,Blackstone 22in Tabletop Carry Bag/Cover,2.1 - Bags & Covers,- No Department -,NAI,0,$0.00 ,$0.00 ,0,"5,712","5,712","$51,579.36 ",,0,0,0,$0.00 ,,"5,712",$9.03 ,"$51,579.36 "
1722,Damaged Location BP,Blackstone 22in Tabletop Carry Bag/Cover,2.1 - Bags & Covers,- No Department -,NAI,18,$9.03 ,$162.54 ,0,0,0,$0.00 ,,0,1,1,$9.03 ,,17,$9.03 ,$153.51 
1722,Retail Store,Blackstone 22in Tabletop Carry Bag/Cover,2.1 - Bags & Covers,- No Department -,NAI,0,$0.00 ,$0.00 ,0,1,1,$9.03 ,,0,0,0,$0.00 ,,1,$9.03 ,$9.03 
1723,Returns Received,Blackstone 22in Carry Bag,2.1 - Bags & Covers,- No Department -,NAI,0,$0.00 ,$0.00 ,0,24,24,$136.80 ,,0,24,24,$136.80 ,,0,$0.00 ,$0.00 
1723,Transit,Blackstone 22in Carry Bag,2.1 - Bags & Covers,- No Department -,NAI,"1,600",$5.70 ,"$9,120.00 ",,,,,,,,,,,"1,600",$5.70 ,"$9,120.00 "
1723,BPUT2,Blackstone 22in Carry Bag,2.1 - Bags & Covers,- No Department -,NAI,0,$0.00 ,$0.00 ,0,15,15,$86.73 ,,0,0,0,$0.00 ,,15,$5.78 ,$86.73 
1723,Damaged Location BP,Blackstone 22in Carry Bag,2.1 - Bags & Covers,- No Department -,NAI,111,$5.78 ,$641.82 ,0,24,24,$136.80 ,,0,15,15,$86.73 ,,120,$5.77 ,$691.89 
1723,Retail Store,Blackstone 22in Carry Bag,2.1 - Bags & Covers,- No Department -,NAI,3,$5.78 ,$17.34 ,,,,,,,,,,,3,$5.78 ,$17.34 
1723,BPUT1,Blackstone 22in Carry Bag,2.1 - Bags & Covers,- No Department -,NAI,"1,005",$5.70 ,"$5,728.55 ",0,0,0,$0.00 ,,91,0,91,$518.70 ,10/22/2021,914,$5.70 ,"$5,209.85 "
1724,Returns Received,Blackstone 22in Tabletop Cover,2.1 - Bags & Covers,- No Department -,NAI,0,$0.00 ,$0.00 ,0,5,5,$15.20 ,,0,5,5,$15.20 ,,0,$0.00 ,$0.00 
1724,Damaged Location BP,Blackstone 22in Tabletop Cover,2.1 - Bags & Covers,- No Department -,NAI,403,$3.04 ,"$1,226.84 ",0,5,5,$15.20 ,,0,18,18,$54.79 ,,390,$3.04 ,"$1,187.25 "
1724,BPUT2,Blackstone 22in Tabletop Cover,2.1 - Bags & Covers,- No Department -,NAI,0,$0.00 ,$0.00 ,0,15,15,$45.66 ,,0,0,0,$0.00 ,,15,$3.04 ,$45.66 
1724,Retail Store,Blackstone 22in Tabletop Cover,2.1 - Bags & Covers,- No Department -,NAI,3,$3.04 ,$9.13 ,,,,,,,,,,,3,$3.04 ,$9.13 
1724,Transit,Blackstone 22in Tabletop Cover,2.1 - Bags & Covers,- No Department -,NAI,"19,000",$3.04 ,"$57,760.00 ",,,,,,,,,,,"19,000",$3.04 ,"$57,760.00 "
1724,BPUT1,Blackstone 22in Tabletop Cover,2.1 - Bags & Covers,- No Department -,NAI,0,$0.00 ,$0.00 ,0,3,3,$9.13 ,,1,1,2,$6.09 ,10/13/2021,1,$3.04 ,$3.04 
1730,Transit,Blackstone Tailgater Bag Combo,2.1 - Bags & Covers,- No Department -,NAI,"2,000",$11.97 ,"$23,940.00 ",0,0,0,$0.00 ,,0,"2,000","2,000","$23,940.00 ",,0,$0.00 ,$0.00 
1730,BPUT1,Blackstone Tailgater Bag Combo,2.1 - Bags & Covers,- No Department -,NAI,29,$11.97 ,$347.14 ,0,"2,000","2,000","$23,940.00 ",,17,12,29,$347.13 ,10/6/2021,"2,000",$11.97 ,"$23,940.01 "
1730,Damaged Location BP,Blackstone Tailgater Bag Combo,2.1 - Bags & Covers,- No Department -,NAI,7,$11.97 ,$83.79 ,0,12,12,$143.64 ,,0,2,2,$23.94 ,,17,$11.97 ,$203.49 
1730,Retail Store,Blackstone Tailgater Bag Combo,2.1 - Bags & Covers,- No Department -,NAI,3,$11.97 ,$35.91 ,0,1,1,$11.97 ,,0,0,0,$0.00 ,,4,$11.97 ,$47.88 
1755,BPUT1,Blackstone Griddle Cutting Board,2.3 - Griddle Accessories,- No Department -,NAI,"10,531",$6.30 ,"$66,345.85 ",0,"4,535","4,535","$28,570.50 ",,177,0,177,"$1,115.10 ",10/22/2021,"14,889",$6.30 ,"$93,801.25 "
1755,Damaged Location BP,Blackstone Griddle Cutting Board,2.3 - Griddle Accessories,- No Department -,NAI,97,$6.51 ,$631.91 ,0,1,1,$6.30 ,,0,9,9,$58.62 ,,89,$6.51 ,$579.59 
1755,Transit,Blackstone Griddle Cutting Board,2.3 - Griddle Accessories,- No Department -,NAI,"4,535",$6.30 ,"$28,570.50 ","5,000",0,"5,000","$31,500.00 ",10/17/2021,0,"4,535","4,535","$28,570.50 ",,"5,000",$6.30 ,"$31,500.00 "
1755,Returns Received,Blackstone Griddle Cutting Board,2.3 - Griddle Accessories,- No Department -,NAI,0,$0.00 ,$0.00 ,0,1,1,$6.30 ,,0,1,1,$6.30 ,,0,$0.00 ,$0.00 
1755,Retail Store,Blackstone Griddle Cutting Board,2.3 - Griddle Accessories,- No Department -,NAI,6,$6.52 ,$39.11 ,0,5,5,$32.57 ,,7,0,7,$45.62 ,10/18/2021,4,$6.52 ,$26.06 
1765,Retail Store,1765 BLACKSTONE CHARCOAL CHIMNEY,2 - NonGriddle,- No Department -,NAI,11,$10.00 ,$110.00 ,,,,,,,,,,,11,$10.00 ,$110.00 
1780,BPUT1,Blackstone 12in Basting Cover,2.3 - Griddle Accessories,- No Department -,NAI,"5,783",$2.59 ,"$14,977.97 ",0,"17,510","17,510","$46,225.90 ",,"2,041",25,"2,066","$5,425.72 ",10/22/2021,"21,227",$2.63 ,"$55,778.15 "
1780,Damaged Location BP,Blackstone 12in Basting Cover,2.3 - Griddle Accessories,- No Department -,NAI,0,$0.00 ,$0.00 ,0,20,20,$52.12 ,,0,10,10,$25.90 ,,10,$2.62 ,$26.22 
1780,Transit,Blackstone 12in Basting Cover,2.3 - Griddle Accessories,- No Department -,NAI,"25,000",$2.64 ,"$66,000.00 ","5,000",0,"5,000","$13,200.00 ",10/17/2021,0,"17,500","17,500","$46,200.00 ",,"12,500",$2.64 ,"$33,000.00 "
1783,BPUT1,Adventure Ready 17in Griddle/Air Fryer 12V (Gas/Electric No Stand),"1.5 - 17"" Griddle",- No Department -,NAI,119,$105.36 ,"$12,537.84 ",0,0,0,$0.00 ,,17,0,17,"$1,791.12 ",10/15/2021,102,$105.36 ,"$10,746.72 "
1785,BPUT1,Griddle Plus 28in 2 Drawer Airfryer Griddle,"1.3 - 28"" Griddles",- No Department -,NAI,3,$163.47 ,$490.41 ,0,0,0,$0.00 ,,0,3,3,$490.41 ,,0,$0.00 ,$0.00 
1785,Inventory Adjustments,Griddle Plus 28in 2 Drawer Airfryer Griddle,"1.3 - 28"" Griddles",- No Department -,NAI,0,$0.00 ,$0.00 ,0,3,3,$490.41 ,,0,3,3,$490.41 ,,0,$0.00 ,$0.00 
1785,Retail Store,Griddle Plus 28in 2 Drawer Airfryer Griddle,"1.3 - 28"" Griddles",- No Department -,NAI,0,$0.00 ,$0.00 ,0,1,1,$163.47 ,,1,0,1,$163.47 ,10/6/2021,0,$0.00 ,$0.00 
1785,Damaged Location BP,Griddle Plus 28in 2 Drawer Airfryer Griddle,"1.3 - 28"" Griddles",- No Department -,NAI,1,$163.47 ,$163.47 ,0,0,0,$0.00 ,,0,1,1,$163.47 ,,0,$0.00 ,$0.00 
1813,BPUT1,Original 22in Stainless Front Panel Tabletop Griddle,"1.4 - 22"" Griddle",- No Department -,NAI,"1,505",$58.90 ,"$88,644.50 ",0,379,379,"$22,323.10 ",,"1,194",3,"1,197","$70,503.30 ",10/22/2021,687,$58.90 ,"$40,464.30 "
1813,Retail Store,Original 22in Stainless Front Panel Tabletop Griddle,"1.4 - 22"" Griddle",- No Department -,NAI,0,$0.00 ,$0.00 ,0,1,1,$58.90 ,,1,0,1,$58.90 ,10/12/2021,0,$0.00 ,$0.00 
1813,Damaged Location BP,Original 22in Stainless Front Panel Tabletop Griddle,"1.4 - 22"" Griddle",- No Department -,NAI,0,$0.00 ,$0.00 ,0,3,3,$176.70 ,,0,2,2,$117.80 ,,1,$58.90 ,$58.90 
1813,Transit,Original 22in Stainless Front Panel Tabletop Griddle,"1.4 - 22"" Griddle",- No Department -,NAI,378,$58.90 ,"$22,264.20 ",0,0,0,$0.00 ,,0,378,378,"$22,264.20 ",,0,$0.00 ,$0.00 
1814,Returns Received,Original 17in Tabletop Griddle W/Hood,"1.5 - 17"" Griddle",- No Department -,NAI,0,$0.00 ,$0.00 ,0,8,8,$333.29 ,,0,8,8,$333.29 ,,0,$0.00 ,$0.00 
1814,Retail Store,Original 17in Tabletop Griddle W/Hood,"1.5 - 17"" Griddle",- No Department -,NAI,3,$41.66 ,$124.98 ,0,0,0,$0.00 ,,3,0,3,$124.98 ,10/22/2021,0,$0.00 ,$0.00 
1814,BPUT1,Original 17in Tabletop Griddle W/Hood,"1.5 - 17"" Griddle",- No Department -,NAI,"4,592",$41.68 ,"$191,380.64 ",0,0,0,$0.00 ,,"1,078",0,"1,078","$44,928.65 ",10/22/2021,"3,514",$41.68 ,"$146,451.99 "
1814,Damaged Location BP,Original 17in Tabletop Griddle W/Hood,"1.5 - 17"" Griddle",- No Department -,NAI,0,$0.00 ,$0.00 ,0,8,8,$333.29 ,,0,0,0,$0.00 ,,8,$41.66 ,$333.29 
1814,Transit,Original 17in Tabletop Griddle W/Hood,"1.5 - 17"" Griddle",- No Department -,NAI,832,$42.75 ,"$35,570.92 ",251,0,251,"$10,793.00 ",10/16/2021,0,0,0,$0.00 ,,"1,083",$42.81 ,"$46,363.92 "
1832,BPUT1,"Adventure Ready 17"" Tabletop Griddle","1.5 - 17"" Griddle",- No Department -,NAI,8,$30.78 ,$246.23 ,,,,,,,,,,,8,$30.78 ,$246.23 
1856,Retail Store,Adventure Ready 28in Griddle Cooking Station,"1.3 - 28"" Griddles",- No Department -,NAI,2,$69.90 ,$139.80 ,,,,,,,,,,,2,$69.90 ,$139.80 
