Day of Date Created,Name,Purchase Order,Ship Date,Item,Quantity,Destination,Requested Ship Date,Booked,Customer PO,Name,Expected Receipt Date,Status,unit_cost,Blanket PO
11/4/2020,Shining Era Enterprise Limited,PO8874,1/1/2021,1984,240,,,,88Q5LSUE,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,1,No
11/4/2020,Shining Era Enterprise Limited,PO8882,1/1/2021,1984,294,,,,1L6UD8TL,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,1,No
11/4/2020,Shining Era Enterprise Limited,PO8883,1/1/2021,1984,294,,,,25HVWXUP,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,1,No
11/4/2020,Shining Era Enterprise Limited,PO8884,1/1/2021,1984,294,,,,2EQOXI5M,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,1,No
11/4/2020,Shining Era Enterprise Limited,PO8885,1/1/2021,1984,294,,,,2RP16A5N,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,1,No
11/4/2020,Shining Era Enterprise Limited,PO8886,1/1/2021,1984,294,,,,5KTLFCQH,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,1,No
11/4/2020,Shining Era Enterprise Limited,PO8887,1/1/2021,1984,294,,,,7TDFKQMV,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,1,No
11/4/2020,Shining Era Enterprise Limited,PO8888,1/1/2021,1984,294,,,,7XTXIMJF,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,1,No
11/4/2020,Shining Era Enterprise Limited,PO8889,1/1/2021,1984,256,,,,8HIQ1HEY,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,1,No
11/4/2020,Shining Era Enterprise Limited,PO8890,1/1/2021,1984,294,,,,8K5HD9GT,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,1,No
11/4/2020,Shining Era Enterprise Limited,PO8891,1/1/2021,1984,294,,,,8ZK4GP8P,AMAZON.COM : AMAZON.COM - IMPORTS,11/18/2020,Pending Receipt,1,No
11/11/2020,Shining Era Enterprise Limited,PO9159,12/15/2020,1900,120,,,,2163774-99,"Mid States Distributing Co, Inc : Mid States Distributing Co IMPORT",11/25/2020,Pending Receipt,35,No
11/11/2020,Shining Era Enterprise Limited,PO9159,12/15/2020,1968,140,,,,2163774-99,"Mid States Distributing Co, Inc : Mid States Distributing Co IMPORT",11/25/2020,Pending Receipt,53,No
11/11/2020,Shining Era Enterprise Limited,PO9159,12/15/2020,1935,40,,,,2163774-99,"Mid States Distributing Co, Inc : Mid States Distributing Co IMPORT",11/25/2020,Pending Receipt,82.5,No
11/11/2020,Shining Era Enterprise Limited,PO9159,12/15/2020,1837,50,,,,2163774-99,"Mid States Distributing Co, Inc : Mid States Distributing Co IMPORT",11/25/2020,Pending Receipt,201.2,No
11/24/2020,Shining Era Enterprise Limited,PO9360,3/13/2021,1866,205,,,,1027321974,Tractor Supply Co : *Tractor Supply Co IMPORT,12/8/2020,Pending Receipt,142.5,No
11/24/2020,Shining Era Enterprise Limited,PO9368,7/15/2021,2017,79,,,,2210133,PACIFIC FLYWAY WAREHOUSE : Pacific Flyway Warehouse IMPORT,12/8/2020,Partially Received,60.94,No
12/1/2020,Shining Era Enterprise Limited,PO9448,1/7/2021,1853,21,,,,6B3PDJDT,AMAZON.COM : AMAZON.COM - IMPORTS,12/15/2020,Partially Received,86.17,No
12/1/2020,Shining Era Enterprise Limited,PO9483,1/7/2021,1853,21,,,,7SPFHGML,AMAZON.COM : AMAZON.COM - IMPORTS,12/15/2020,Partially Received,86.17,No
12/9/2020,"Foshan Daide Bags Co., LTD",PO9910,12/15/2020,5442,2000,,,,120940489,Lowes.com : Lowes IMPORT,12/23/2020,Pending Receipt,12.2,No
12/10/2020,Shining Era Enterprise Limited,PO9958,8/1/2021,1889,572,,,,24315,FORE-TENN : FORE-TENN IMPORT,12/24/2020,Pending Receipt,133,No
12/15/2020,Shining Era Enterprise Limited,PO10178,12/15/2022,1883,120,,,,298713-00,WALLACE HARDWARE : Wallace Hardware IMPORT,12/29/2020,Pending Receipt,90,No
12/15/2020,Shining Era Enterprise Limited,PO10178,12/15/2022,1899,60,,,,298713-00,WALLACE HARDWARE : Wallace Hardware IMPORT,12/29/2020,Pending Receipt,139,No
12/15/2020,Shining Era Enterprise Limited,PO10178,12/15/2022,1900,29,,,,298713-00,WALLACE HARDWARE : Wallace Hardware IMPORT,12/29/2020,Pending Receipt,35,No
12/15/2020,Shining Era Enterprise Limited,PO10178,12/15/2022,1968,28,,,,298713-00,WALLACE HARDWARE : Wallace Hardware IMPORT,12/29/2020,Pending Receipt,53,No
12/15/2020,Shining Era Enterprise Limited,PO10178,12/15/2022,1860,7,,,,298713-00,WALLACE HARDWARE : Wallace Hardware IMPORT,12/29/2020,Pending Receipt,77.5,No
12/15/2020,Shining Era Enterprise Limited,PO10178,12/15/2022,1550,36,,,,298713-00,WALLACE HARDWARE : Wallace Hardware IMPORT,12/29/2020,Pending Receipt,118.3,No
12/18/2020,Shining Era Enterprise Limited,PO10190,7/31/2021,1550,120,,,,859209,Meyer Distributing Import,1/1/2021,Pending Receipt,118.3,No
12/18/2020,Shining Era Enterprise Limited,PO10190,7/31/2021,1935,191,,,,859209,Meyer Distributing Import,1/1/2021,Pending Receipt,82.5,No
12/18/2020,Shining Era Enterprise Limited,PO10196,8/1/2021,1971,1040,,,,3316551,CWI OPERATING UNIT : CWI Operating Unit IMPORT,1/1/2021,Pending Receipt,34,No
12/18/2020,Shining Era Enterprise Limited,PO10248,3/21/2021,1883,19,,,,0009-7042796-0581,TARGET IMPORT - #1985884,1/1/2021,Partially Received,90,No
12/21/2020,Shining Era Enterprise Limited,PO10250,2/1/2021,1899,90,,,,9189487,HOUSE-HASSON - CUST#257410 : House-Hasson - CUST#25740 IMPORT,1/4/2021,Pending Receipt,139,No
12/21/2020,Shining Era Enterprise Limited,PO10250,2/1/2021,1900,84,,,,9189487,HOUSE-HASSON - CUST#257410 : House-Hasson - CUST#25740 IMPORT,1/4/2021,Pending Receipt,35,No
12/21/2020,Shining Era Enterprise Limited,PO10250,2/1/2021,1550,40,,,,9189487,HOUSE-HASSON - CUST#257410 : House-Hasson - CUST#25740 IMPORT,1/4/2021,Pending Receipt,118.3,No
12/21/2020,Shining Era Enterprise Limited,PO10250,2/1/2021,1883,60,,,,9189487,HOUSE-HASSON - CUST#257410 : House-Hasson - CUST#25740 IMPORT,1/4/2021,Pending Receipt,90,No
12/21/2020,Shining Era Enterprise Limited,PO10254,2/2/2021,1968,46,,,,2189485,HOUSE-HASSON - CUST#257410 : House-Hasson - CUST#25740 IMPORT,1/4/2021,Pending Receipt,53,No
12/21/2020,Shining Era Enterprise Limited,PO10254,2/2/2021,1899,60,,,,2189485,HOUSE-HASSON - CUST#257410 : House-Hasson - CUST#25740 IMPORT,1/4/2021,Pending Receipt,139,No
12/21/2020,Shining Era Enterprise Limited,PO10254,2/2/2021,1900,20,,,,2189485,HOUSE-HASSON - CUST#257410 : House-Hasson - CUST#25740 IMPORT,1/4/2021,Pending Receipt,35,No
12/21/2020,Shining Era Enterprise Limited,PO10254,2/2/2021,1550,25,,,,2189485,HOUSE-HASSON - CUST#257410 : House-Hasson - CUST#25740 IMPORT,1/4/2021,Pending Receipt,118.3,No
12/21/2020,Shining Era Enterprise Limited,PO10254,2/2/2021,1883,60,,,,2189485,HOUSE-HASSON - CUST#257410 : House-Hasson - CUST#25740 IMPORT,1/4/2021,Pending Receipt,90,No
12/21/2020,Shining Era Enterprise Limited,PO10255,2/2/2021,1900,168,,,,2189554,HOUSE-HASSON - CUST#257410 : House-Hasson - CUST#25740 IMPORT,1/4/2021,Pending Receipt,35,No
12/21/2020,Shining Era Enterprise Limited,PO10255,2/2/2021,1550,179,,,,2189554,HOUSE-HASSON - CUST#257410 : House-Hasson - CUST#25740 IMPORT,1/4/2021,Pending Receipt,118.3,No
12/23/2020,Shining Era Enterprise Limited,PO10283,1/10/2021,1971,34,,,,227SL6ZK,AMAZON.COM : AMAZON.COM - IMPORTS,1/6/2021,Partially Received,34,No
12/28/2020,"Guangdong Canbo Electrical Co., LTD",PO10487,6/10/2021,1903,477,,,,073191Z9619,Do It Best Import #9619 (Yantian),1/11/2021,Pending Receipt,0,No
1/15/2021,Shining Era Enterprise Limited,PO10682,1/15/2021,1883,335,,,,2189669,HOUSE-HASSON - CUST#257410 : House-Hasson - CUST#25740 IMPORT,5/21/2021,Pending Receipt,90,No
1/15/2021,Shining Era Enterprise Limited,PO10683,1/15/2021,1899,175,,,,2189879,HOUSE-HASSON - CUST#257410 : House-Hasson - CUST#25740 IMPORT,5/21/2021,Pending Receipt,139,No
1/18/2021,Shining Era Enterprise Limited,PO10697,5/1/2021,1866,205,,,,1027711100,Tractor Supply Co : *Tractor Supply Co IMPORT,2/1/2021,Pending Receipt,142.5,No
1/25/2021,Shining Era Enterprise Limited,PO10966,1/22/2021,1554,47,,,,WHSZ17885Z9961518,WAYFAIR.com : Wayfair IMPORT,8/13/2021,Partially Received,115,No
1/26/2021,"Guangdong Canbo Electrical Co., LTD",PO10989,6/3/2021,1868,924,,,,9969606383,WALMART IMPORT,5/12/2021,Partially Received,247.56,No
2/3/2021,Shining Era Enterprise Limited,PO11159,5/26/2021,1935,380,,,,8688449,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,82.5,No
2/3/2021,Shining Era Enterprise Limited,PO11166,5/26/2021,1924,404,,,,8688439,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,83.9,No
2/3/2021,Shining Era Enterprise Limited,PO11168,5/26/2021,1899,175,,,,8688426,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,139,No
2/3/2021,Shining Era Enterprise Limited,PO11170,5/26/2021,1968,510,,,,8688469,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,53,No
2/3/2021,Shining Era Enterprise Limited,PO11171,5/26/2021,1899,175,,,,8688431,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,139,No
2/3/2021,Shining Era Enterprise Limited,PO11172,5/26/2021,1899,175,,,,8688432,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,139,No
2/3/2021,Shining Era Enterprise Limited,PO11173,5/26/2021,1935,380,,,,8688451,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,82.5,No
2/3/2021,Shining Era Enterprise Limited,PO11175,5/26/2021,1899,175,,,,8688435,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,139,No
2/3/2021,Shining Era Enterprise Limited,PO11177,5/26/2021,1899,175,,,,8688436,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,139,No
2/3/2021,Shining Era Enterprise Limited,PO11178,5/26/2021,1968,510,,,,8687921,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,53,No
2/3/2021,Shining Era Enterprise Limited,PO11179,5/26/2021,1971,1188,,,,8688473,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,34,No
2/3/2021,Shining Era Enterprise Limited,PO11180,5/26/2021,1971,1188,,,,8688477,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,34,No
2/3/2021,Shining Era Enterprise Limited,PO11184,5/26/2021,1899,175,,,,8688425,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,139,No
2/3/2021,Shining Era Enterprise Limited,PO11185,5/26/2021,1924,404,,,,8687911,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,83.9,No
2/3/2021,Shining Era Enterprise Limited,PO11186,5/26/2021,1935,380,,,,8687918,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,82.5,No
2/3/2021,Shining Era Enterprise Limited,PO11187,5/26/2021,1935,380,,,,8688450,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,82.5,No
2/3/2021,Shining Era Enterprise Limited,PO11191,5/26/2021,1968,510,,,,8688470,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,53,No
2/3/2021,Shining Era Enterprise Limited,PO11193,5/26/2021,1935,380,,,,8688448,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,82.5,No
2/3/2021,Shining Era Enterprise Limited,PO11194,5/26/2021,1971,1188,,,,8687929,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,34,No
2/3/2021,Shining Era Enterprise Limited,PO11196,5/26/2021,1935,380,,,,8688446,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,82.5,No
2/3/2021,Shining Era Enterprise Limited,PO11197,5/26/2021,1968,510,,,,8687922,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,53,No
2/3/2021,Shining Era Enterprise Limited,PO11198,5/26/2021,1971,1188,,,,8688474,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,34,No
2/3/2021,Shining Era Enterprise Limited,PO11199,5/26/2021,1935,380,,,,8688447,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,82.5,No
2/3/2021,Shining Era Enterprise Limited,PO11200,5/26/2021,1968,510,,,,8688468,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,53,No
2/3/2021,Shining Era Enterprise Limited,PO11201,5/26/2021,1968,510,,,,8688465,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,53,No
2/3/2021,Shining Era Enterprise Limited,PO11203,5/26/2021,1924,404,,,,8688441,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,83.9,No
2/3/2021,Shining Era Enterprise Limited,PO11204,5/26/2021,1968,510,,,,8688466,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,53,No
2/3/2021,Shining Era Enterprise Limited,PO11205,5/26/2021,1968,510,,,,8688467,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,53,No
2/3/2021,Shining Era Enterprise Limited,PO11206,5/26/2021,1924,404,,,,8688438,Bass Pro Shops IMPORT #225992,2/17/2021,Pending Receipt,83.9,No
2/5/2021,Shining Era Enterprise Limited,PO11239,6/24/2021,1565,1144,,,,534312-00,Princess Auto LTD : Princess Auto Import,4/5/2021,Pending Receipt,135.8,No
2/5/2021,Shining Era Enterprise Limited,PO11239,6/24/2021,1650,1188,,,,534312-00,Princess Auto LTD : Princess Auto Import,4/2/2021,Pending Receipt,32.11,No
2/8/2021,Shining Era Enterprise Limited,PO11262,2/1/2021,1899,175,,,,859212,Meyer Distributing Import,2/22/2021,Pending Receipt,139,No
2/9/2021,VL (HK) LIMITED,PO11277,5/10/2021,5394,568,,,,9969607371,WALMART IMPORT,2/23/2021,Partially Received,10.92,No
2/18/2021,Shining Era Enterprise Limited,PO11360,6/5/2021,1554,286,,,,1646325A,D&H Distributing Co. : D&H Distributing Co - IMPORT,3/4/2021,Pending Receipt,115,No
2/18/2021,Shining Era Enterprise Limited,PO11361,6/5/2021,1517,463,,,,1646327A,D&H Distributing Co. : D&H Distributing Co - IMPORT,3/4/2021,Pending Receipt,77.6,No
2/18/2021,Shining Era Enterprise Limited,PO11362,7/1/2021,1517,463,,,,1646331A,D&H Distributing Co. : D&H Distributing Co - IMPORT,3/4/2021,Pending Receipt,77.6,No
3/1/2021,Shining Era Enterprise Limited,PO11466,11/30/2021,1825,213,,,,24357,FORE-TENN : FORE-TENN IMPORT,4/16/2021,Pending Receipt,125.13,No
3/4/2021,Shining Era Enterprise Limited,PO11536,7/31/2021,1866,205,,,,1027971929,Tractor Supply Co : *Tractor Supply Co IMPORT,3/18/2021,Pending Receipt,142.5,No
3/4/2021,Shining Era Enterprise Limited,PO11549,8/13/2021,1866,205,,,,1027971974,Tractor Supply Co : *Tractor Supply Co IMPORT,3/18/2021,Pending Receipt,142.5,No
3/4/2021,Shining Era Enterprise Limited,PO11565,8/13/2021,1866,205,,,,1027972899,Tractor Supply Co : *Tractor Supply Co IMPORT,3/18/2021,Pending Receipt,142.5,No
3/4/2021,Shining Era Enterprise Limited,PO11581,7/17/2021,1866,205,,,,1027971524,Tractor Supply Co : *Tractor Supply Co IMPORT,3/18/2021,Pending Receipt,142.5,No
3/4/2021,Shining Era Enterprise Limited,PO11585,7/31/2021,1866,205,,,,1027979823,Tractor Supply Co : *Tractor Supply Co IMPORT,3/18/2021,Pending Receipt,142.5,No
3/9/2021,Shining Era Enterprise Limited,PO11633,3/5/2021,1899,9,,,,909000207,DICKS IMPORT - #76403,3/23/2021,Partially Received,156,No
3/12/2021,Shining Era Enterprise Limited,PO11686,3/11/2021,1924,4,,,,909005002,DICKS IMPORT - #76403,3/26/2021,Partially Received,92.5,No
3/12/2021,Shining Era Enterprise Limited,PO11695,3/11/2021,1899,24,,,,909005010,DICKS IMPORT - #76403,3/26/2021,Partially Received,156,No
3/15/2021,Shining Era Enterprise Limited,PO11703,6/25/2021,1666,989,,,,330050,Northern Wholesale Supply IMPORT,3/29/2021,Pending Receipt,42.11,No
3/16/2021,Shining Era Enterprise Limited,PO11809,3/16/2021,1935,1140,,,,RG121,Ace Hardware IMPORT #55931,3/30/2021,Pending Receipt,82.5,No
3/16/2021,Shining Era Enterprise Limited,PO11826,3/16/2021,1883,2010,,,,RG147,Ace Hardware IMPORT #55931,3/30/2021,Pending Receipt,90,No
3/16/2021,Shining Era Enterprise Limited,PO11829,3/16/2021,1899,175,,,,RG14V,Ace Hardware IMPORT #55931,3/30/2021,Pending Receipt,139,No
3/16/2021,Shining Era Enterprise Limited,PO11832,3/16/2021,1899,175,,,,RG14N,Ace Hardware IMPORT #55931,3/30/2021,Pending Receipt,139,No
3/16/2021,Shining Era Enterprise Limited,PO11838,3/16/2021,1899,175,,,,RG14T,Ace Hardware IMPORT #55931,3/30/2021,Pending Receipt,139,No
3/16/2021,Shining Era Enterprise Limited,PO11840,3/16/2021,1899,175,,,,RG150,Ace Hardware IMPORT #55931,3/30/2021,Pending Receipt,156,No
3/16/2021,Shining Era Enterprise Limited,PO11843,3/16/2021,1899,175,,,,RG153,Ace Hardware IMPORT #55931,3/30/2021,Pending Receipt,139,No
3/16/2021,Shining Era Enterprise Limited,PO11844,3/16/2021,1899,175,,,,RG154,Ace Hardware IMPORT #55931,3/30/2021,Pending Receipt,156,No
3/16/2021,Shining Era Enterprise Limited,PO11845,3/16/2021,1899,175,,,,RG155,Ace Hardware IMPORT #55931,3/30/2021,Pending Receipt,139,No
3/16/2021,Shining Era Enterprise Limited,PO11846,3/16/2021,1899,175,,,,RG156,Ace Hardware IMPORT #55931,3/30/2021,Pending Receipt,156,No
3/16/2021,Shining Era Enterprise Limited,PO11848,3/16/2021,1899,175,,,,RG158,Ace Hardware IMPORT #55931,3/30/2021,Pending Receipt,139,No
3/16/2021,Shining Era Enterprise Limited,PO11850,3/16/2021,1899,175,,,,RG15V,Ace Hardware IMPORT #55931,3/30/2021,Pending Receipt,139,No
3/16/2021,Shining Era Enterprise Limited,PO11851,3/16/2021,1899,175,,,,RG15B,Ace Hardware IMPORT #55931,3/30/2021,Pending Receipt,156,No
3/16/2021,Shining Era Enterprise Limited,PO11852,3/16/2021,1899,175,,,,RG15C,Ace Hardware IMPORT #55931,3/30/2021,Pending Receipt,139,No
3/16/2021,Shining Era Enterprise Limited,PO11853,3/16/2021,1899,1575,,,,RG15D,Ace Hardware IMPORT #55931,3/30/2021,Pending Receipt,139,No
3/16/2021,Shining Era Enterprise Limited,PO11854,3/16/2021,1899,350,,,,RG15W,Ace Hardware IMPORT #55931,3/30/2021,Pending Receipt,139,No
3/16/2021,Shining Era Enterprise Limited,PO11856,3/16/2021,1899,175,,,,RG15G,Ace Hardware IMPORT #55931,3/30/2021,Pending Receipt,139,No
